Stop,Runtime,Line,Departure time,Arrival time
Brodzka,>,103,04:51:00,04:52:00
Kozia,>,103,04:52:00,04:53:00
Polnocna,>,103,04:53:00,04:54:00
Maslicka (Staw),>,103,04:54:00,04:55:00
Maslice Male (Brodnicka),>,103,04:55:00,04:56:00
Redzinska (Cmentarz),>,103,04:56:00,04:57:00
Maslicka (Osiedle),>,103,04:57:00,04:58:00
TARCZYNSKI ARENA (Krolewiecka),>,103,04:58:00,04:59:00
Dworska,>,103,04:59:00,05:00:00
Gornicza,>,103,05:00:00,05:01:00
Modra,>,103,05:01:00,05:02:00
Kolista,>,103,05:02:00,05:03:00
Wejherowska,>,103,05:03:00,05:05:00
Hala Orbita,>,129,05:20:00,05:22:00
most Milenijny,>,129,05:22:00,05:23:00
OSOBOWICKA (Cmentarz),>,129,05:23:00,05:25:00
OSOBOWICKA (Cmentarz II),>,129,05:25:00,05:26:00
Serbska (C.K. Agora),>,129,05:26:00,05:27:00
most Osobowicki,>,129,05:27:00,05:28:00
Baltycka,>,129,05:28:00,05:30:00
Bezpieczna,>,108,05:36:00,05:37:00
Paprotna,>,108,05:37:00,05:38:00
Zajezdnia Obornicka,>,602,08:06:00,08:07:00

A* - TIME,0.04384
From: ,Kurlandzka,To: ,Sniadeckich
Kurlandzka,>,,,06:41:00
Zgorzelisko,>,921,06:55:00,06:56:00
Palacha,>,921,06:56:00,06:57:00
Szewczenki,>,921,06:57:00,06:58:00
Gorlicka,>,921,06:58:00,06:59:00
MULICKA,>,921,06:59:00,07:00:00
Psie Pole (Rondo Lotnikow Polskich),>,921,07:00:00,07:01:00
Psie Pole,>,921,07:01:00,07:02:00
C.H. Korona,>,921,07:02:00,07:06:00
Brucknera,>,921,07:06:00,07:08:00
Kwidzynska,>,921,07:08:00,07:10:00
Sniadeckich,>,921,07:10:00,07:12:00

A* - TIME,2.56414
From: ,Mickiewicza,To: ,Pustecka
Mickiewicza,>,,,06:48:00
Kliniki - Politechnika Wroclawska,>,115,06:52:00,06:54:00
PL. GRUNWALDZKI,>,2,06:55:00,06:57:00
Reja,>,2,06:57:00,06:58:00
Katedra,>,2,06:58:00,07:00:00
pl. Bema,>,C ,07:04:00,07:07:00
Dubois,>,C ,07:07:00,07:12:00
Dmowskiego,>,C ,07:12:00,07:15:00
Poznanska,>,C ,07:15:00,07:18:00
DLUGA (Politechnika),>,C ,07:18:00,07:19:00
Rysia,>,C ,07:19:00,07:21:00
Wejherowska,>,C ,07:21:00,07:22:00
Kwiska,>,101,07:24:00,07:26:00
DH Astra,>,10,07:30:00,07:32:00
Park Zachodni,>,10,07:32:00,07:33:00
Bajana,>,10,07:33:00,07:34:00
Metalowcow,>,10,07:34:00,07:35:00
PILCZYCE,>,10,07:35:00,07:37:00
Tarczynski Arena (Lotnicza),>,10,07:37:00,07:38:00
Glinianki,>,10,07:38:00,07:40:00
Aleja Architektow,>,10,07:40:00,07:41:00
Grabowa,>,10,07:41:00,07:42:00
Kosmonautow (Szpital),>,10,07:42:00,07:44:00
Kamiennogorska (Osrodek dla niewidomych),>,10,07:44:00,07:45:00
Zlotnicka,>,10,07:45:00,07:47:00
Wschowska,>,10,07:47:00,07:48:00
Jeleniogorska,>,10,07:48:00,07:49:00
LESNICA,>,10,07:49:00,07:50:00
Sredzka,>,101,07:51:00,07:52:00
Rubczaka,>,123,07:53:00,07:54:00
Serowarska,>,917,08:02:00,08:04:00
Trzmielowicka,>,917,08:04:00,08:05:00
Pustecka,>,917,08:05:00,08:06:00

A* - TIME,0.899603
From: ,Wilczyce - Wilczycka (Clarena),To: ,FAT
Wilczyce - Wilczycka (Clarena),>,,,05:58:00
Wilczyce - Wilczycka (Stary Mlyn),>,941,06:25:00,06:27:00
Swojczyce,>,941,06:27:00,06:32:00
Magellana,>,941,06:32:00,06:33:00
Kolumba,>,941,06:33:00,06:34:00
Monopolowa,>,941,06:34:00,06:35:00
SEPOLNO,>,941,06:35:00,06:37:00
Godebskiego (AWF Wroclaw),>,941,06:37:00,06:38:00
8 Maja,>,941,06:38:00,06:39:00
Park Szczytnicki,>,115,06:43:00,06:44:00
Mickiewicza,>,115,06:44:00,06:45:00
Kliniki - Politechnika Wroclawska,>,115,06:45:00,06:47:00
PL. GRUNWALDZKI,>,115,06:47:00,06:50:00
most Grunwaldzki,>,70,06:51:00,06:52:00
Poczta Glowna,>,D,06:53:00,06:55:00
GALERIA DOMINIKANSKA,>,D,06:55:00,06:58:00
Renoma,>,D,06:58:00,07:01:00
Arkady (Capitol),>,D,07:01:00,07:03:00
pl. Legionow,>,11,07:04:00,07:06:00
Kolejowa,>,11,07:06:00,07:07:00
Grabiszynska,>,11,07:07:00,07:08:00
Pereca,>,11,07:08:00,07:10:00
Stalowa,>,11,07:10:00,07:12:00
pl. Srebrny,>,11,07:12:00,07:13:00
Bzowa (Centrum Zajezdnia),>,11,07:13:00,07:14:00
Hutmen,>,11,07:14:00,07:15:00
FAT,>,11,07:15:00,07:17:00

A* - TIME,1.943896
From: ,OPATOWICE,To: ,Glowna
OPATOWICE,>,,,10:53:00
Opatowicka nr 85,>,120,11:02:00,11:03:00
Opatowicka nr 59,>,120,11:03:00,11:04:00
Nowy Dom,>,120,11:04:00,11:06:00
Bierdzany,>,120,11:06:00,11:09:00
Miedzyrzecka,>,120,11:09:00,11:10:00
Rakowiecka,>,120,11:10:00,11:12:00
Na Niskich Lakach,>,120,11:12:00,11:13:00
Swistackiego,>,120,11:13:00,11:14:00
Komuny Paryskiej,>,120,11:14:00,11:15:00
Komuny Paryskiej (szkola),>,120,11:15:00,11:16:00
Wzgorze Partyzantow,>,120,11:16:00,11:18:00
Renoma,>,148,11:19:00,11:21:00
pl. Orlat Lwowskich,>,148,11:21:00,11:24:00
PL. JANA PAWLA II,>,31,11:25:00,11:28:00
Mlodych Technikow,>,31,11:28:00,11:30:00
pl. Strzegomski (Muzeum Wspolczesne),>,31,11:30:00,11:31:00
ZACHODNIA (Stacja kolejowa),>,31,11:31:00,11:33:00
Niedzwiedzia,>,31,11:33:00,11:35:00
Malopanewska,>,31,11:35:00,11:36:00
Kwiska,>,31,11:36:00,11:38:00
Kolista,>,31,11:38:00,11:42:00
PILCZYCKA (Anima),>,31,11:42:00,11:43:00
Modra,>,31,11:43:00,11:44:00
Gornicza,>,31,11:44:00,11:45:00
Dworska,>,31,11:45:00,11:47:00
TARCZYNSKI ARENA (Krolewiecka),>,31,11:47:00,11:48:00
Maslicka (Osiedle),>,102,11:51:00,11:52:00
Redzinska (Cmentarz),>,102,11:52:00,11:53:00
Maslice Male (Brodnicka),>,102,11:53:00,11:54:00
Sliwowa,>,102,11:54:00,11:55:00
Maslicka (Staw),>,102,11:55:00,11:56:00
Polnocna,>,102,11:56:00,11:57:00
Kozia,>,102,11:57:00,11:58:00
Brodzka,>,102,11:58:00,11:59:00
Jedrzejowska,>,102,11:59:00,12:01:00
Chwalkowska,>,102,12:01:00,12:02:00
Welniana,>,102,12:02:00,12:03:00
Glowna,>,102,12:03:00,12:05:00

A* - TIME,0.001006
From: ,Szymanow - skrzyz.,To: ,Jaszkotle - kosciol
Szymanow - skrzyz.,>,,,00:24:00

A* - TIME,0.0
From: ,IWINY - petla,To: ,Galczynskiego
IWINY - petla,>,,,08:47:00

A* - TIME,0.900896
From: ,TARCZYNSKI ARENA (Krolewiecka),To: ,Koncowa
TARCZYNSKI ARENA (Krolewiecka),>,,,07:02:00
Dworska,>,31,07:02:00,07:03:00
Gornicza,>,31,07:03:00,07:04:00
Rekodzielnicza,>,136,07:05:00,07:07:00
Metalowcow,>,136,07:07:00,07:08:00
Szybowcowa,>,136,07:08:00,07:11:00
Bulwar Dedala,>,136,07:11:00,07:12:00
Bystrzycka,>,136,07:12:00,07:14:00
Hynka,>,136,07:14:00,07:15:00
Drzewieckiego,>,136,07:15:00,07:16:00
Orlinskiego,>,136,07:16:00,07:17:00
Na Ostatnim Groszu,>,136,07:17:00,07:18:00
Gadowianka,>,136,07:18:00,07:20:00
